Name,Team,No,Position,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,ST,BS,TO,Time,Cluster
Nemanja Grbovic,MNE,90,LP,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,67.0,4
Vasilije Kaludjerovic,MNE,17,LB,0,0,1,1,0,0,0,1,1,0,0,0,3,4,0,1,0,2,1,0,7,69.0,6
Petter Øverby,NOR,11,LP,0,0,14,6,0,0,0,0,1,0,0,0,0,0,1,3,0,5,3,5,2,216.0,6
Bart Ravensbergen,NED,1,GK,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,0,0,0,345.0,0
Matic Suholeznik,SLO,95,LP,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,5,117.0,4
Lukáš Morkovský,CZE,39,CB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,3.0,4
Lukas Hutecek,AUT,72,CB,0,0,2,3,0,0,8,0,0,0,3,0,16,27,0,1,0,22,3,1,4,396.0,1
Joel Willecke,SUI,30,LP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,4
Zharko Peshevski,MKD,33,LP,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,68.0,4
Luka Lovre Klarica,CRO,59,RB,0,0,5,3,1,0,10,1,1,1,0,0,11,6,0,1,0,18,3,0,7,235.0,1
Kauldi Odriozola Yeregui,ESP,62,RW,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,31.0,4
Nikola Karabatic,FRA,13,LB,0,0,5,3,0,0,1,0,0,1,2,2,8,7,0,0,0,22,1,0,10,270.0,1
Bendegúz Bóka,HUN,7,LW,2,0,1,1,9,2,0,0,3,2,0,0,0,0,0,2,0,1,2,0,1,313.0,5
Stas Jovicic Slatinsek,SLO,19,LW,0,0,1,0,6,3,0,0,2,0,0,0,0,0,0,7,0,3,1,0,2,151.0,0
Borut Mackovsek,SLO,51,LB,1,1,10,1,0,0,1,0,2,0,2,2,14,17,0,2,0,16,4,5,8,336.0,1
Mario Sostaric,CRO,6,RW,11,1,1,1,5,0,0,0,6,1,0,0,2,0,0,0,0,2,1,0,1,258.0,5
Justus Fischer,GER,14,LP,0,0,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,55.0,4
Leonel Fernandes,POR,21,LW,0,0,4,2,8,4,0,0,2,1,0,0,0,0,0,2,0,5,3,1,2,287.0,5
Iosif Andrei Buzle,ROU,35,LB,0,0,1,0,0,0,0,1,0,0,0,0,9,12,0,1,0,7,0,0,9,111.0,6
Jakub Hrstka,CZE,2,LW,0,3,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,87.0,0
Risto Vujacic,MNE,26,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4
Dino Hamidovic,BIH,23,LB,0,0,0,1,0,0,1,0,0,0,0,0,3,10,0,3,0,4,0,0,2,64.0,6
László Bartucz,HUN,61,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,194.0,4
Pauli Jacobsen,FAR,1,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,82.0,4
Markus Mahr,AUT,6,LB,0,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,8,0,0,3,40.0,6
Rune Dahmke,GER,34,LW,0,0,3,2,7,5,0,0,1,1,1,1,0,0,0,0,0,0,3,0,5,261.0,5
Björgvin Pall Gustavsson,ISL,1,GK,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,126.0,4
Rasmus Lauge Schmidt,DEN,11,CB,0,0,4,0,0,0,4,0,0,0,0,0,2,8,0,1,0,15,1,2,9,170.0,6
Hans Lindberg,DEN,18,RW,11,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,0
Alexandru Mihai Tarita,ROU,19,RW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22.0,4
Mirko Herceg,BIH,5,LB,0,0,2,0,0,0,0,1,0,0,0,0,4,15,0,1,0,3,0,0,8,115.0,6
Gisli Thorgeir Kristjansson,ISL,10,CB,0,0,2,1,0,0,4,2,0,0,0,0,2,4,0,1,0,11,0,0,8,86.0,6
Domagoj Duvnjak,CRO,5,CB,0,0,0,1,0,0,0,0,0,0,1,1,7,3,0,1,0,2,0,1,5,86.0,6
Martin Galia,CZE,C,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,4
Moritz Mittendorfer,AUT,34,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4
Gilberto Duarte,POR,5,LB,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,4,3,1,0,106.0,0
Michal Olejniczak,POL,5,CB,0,0,1,0,0,0,0,0,0,0,0,0,4,3,1,3,0,4,1,0,8,95.0,6
Gustavo Capdeville,POR,41,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.0,4
Marko Mitev,MKD,10,CB,2,0,2,0,0,0,6,1,0,0,0,0,1,0,0,0,0,7,0,0,6,98.0,6
Gabriel Cristian Ilie,ROU,3,LB,0,0,1,0,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,51.0,0
Julian Köster,GER,18,LB,0,0,11,3,0,0,8,7,1,0,1,1,10,17,0,1,0,31,5,17,17,391.0,3
Nenad Kosteski,MKD,19,RW,0,0,1,0,10,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,147.0,5
Štepán Zeman,CZE,66,LP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,46.0,4
Arsenije Dragasevic,MNE,5,LB,0,0,2,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,1,1,1,39.0,4
Kristján Örn Kristjánsson,ISL,23,RB,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,5.0,4
Tobias Schjølberg Grøndahl,NOR,22,CB,4,3,2,2,1,0,1,0,0,0,0,0,7,2,0,0,0,10,0,0,5,72.0,6
Karl Wallinius,SWE,49,LB,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0,2,0,1,0,1,4,51.0,4
Tomislav Jagurinovski,MKD,34,RB,0,0,1,1,0,0,1,0,2,0,1,1,2,3,0,0,0,10,2,0,11,112.0,6
Martin Velkovski,MKD,4,RB,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,6,66.0,4
Aleix Gómez Abelló,ESP,28,RW,8,0,0,1,4,1,0,0,2,1,10,2,0,0,0,0,0,0,2,0,2,138.0,5
Dani Baijens,NED,77,LB,0,0,6,5,0,0,5,3,7,1,0,1,8,9,0,1,0,17,2,0,8,261.0,1
