,Team,No,Name,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,R7,ST,BS,P7,TO,Time,scoring,Position,topk,top1
91,UKR,19,Tamara Smbatian,6,0,3,0,0,0,2,1,0,0,0,0,7,5,0,4,0,9,0,1,0,0,12,103.0,0,CB,0,0
92,NOR,33,Thale Rushfeldt Deila,0,0,4,0,0,0,23,5,0,2,0,0,6,11,0,4,0,22,0,9,0,0,16,302.0,0,LB,1,0
94,SUI,17,Charlotte Kähr,0,0,0,1,0,0,1,1,0,0,0,0,1,3,0,1,0,4,0,0,0,0,3,42.0,0,LB,0,0
95,NED,20,Inger Smits,0,0,1,3,0,0,5,1,1,0,0,0,2,8,0,0,0,6,0,3,0,0,6,122.0,0,CB,0,0
96,DEN,11,Line Haugsted,0,0,0,1,0,0,1,1,2,0,0,0,1,5,0,3,0,4,0,4,3,0,2,199.0,0,RB,0,0
97,SWE,35,Sofia Hvenfelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.0,0,LP,0,0
98,NED,10,Isa Ternede,0,0,1,0,0,0,4,1,0,0,1,1,0,1,0,0,0,7,0,1,0,0,6,36.0,0,LB,0,0
99,DEN,8,Anne Mette Hansen,10,5,7,7,0,0,12,1,0,0,1,1,10,9,0,2,0,29,0,2,0,0,14,339.0,0,LB,0,0
100,POL,27,Magdalena Drazyk,3,2,0,6,0,0,4,0,0,0,0,0,0,3,0,1,0,6,0,0,0,0,6,69.0,0,CB,0,0
101,UKR,14,Olha Makarenko,0,0,1,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,153.0,0,LW,0,0
102,CRO,40,Tena Petika,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,15.0,0,LB,0,0
103,MNE,43,Marta Batinovic,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,57.0,0,GK,0,0
104,ESP,33,Kaba Gassama Cissokho,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,45.0,0,LP,0,0
105,NOR,20,Marit Røsberg Jacobsen,0,0,4,1,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,184.0,0,RW,0,0
106,SRB,36,Jovana Ristic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,CB,0,0
107,ESP,41,Nicole Wiggins,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,133.0,0,GK,0,0
108,POR,25,Luciana Resende Rebelo,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,4,24.0,0,RB,0,0
110,SVK,18,Lenka Ratvajská,0,0,0,1,3,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,128.0,0,RW,0,0
112,POL,13,Sylwia Matuszczyk,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,101.0,0,LP,0,0
113,AUT,14,Klara Schlegel,0,0,3,0,0,0,0,0,0,0,0,0,1,5,0,1,0,1,0,0,0,0,4,35.0,0,RB,0,0
114,MKD,71,Jovana Sazdovska,0,0,1,2,1,4,0,0,0,0,0,0,0,0,0,2,0,1,0,4,0,0,3,145.0,0,LW,0,0
115,ISL,3,Andrea Jacobsen,0,0,0,2,0,0,3,1,1,0,0,0,3,9,0,1,0,1,0,2,0,0,5,94.0,0,LB,0,0
116,FAR,11,Lukka Arge,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,CB,0,0
117,CRO,6,Sara Šenvald,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,54.0,0,LP,0,0
118,MKD,26,Jovana Micevska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,103.0,0,GK,0,0
119,ISL,25,Thea Imani Sturludottir,0,0,1,0,0,0,3,0,0,0,0,0,1,9,0,0,0,2,0,1,0,0,5,102.0,0,RB,0,0
120,HUN,71,Mirtill Petrus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,28.0,0,LW,0,0
121,SLO,88,Ema Abina,0,0,0,0,5,4,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,1,267.0,0,LW,0,0
122,ISL,26,Sunna Jónsdóttir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,CB,0,0
123,HUN,31,Zsófi Szemerey,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,304.0,0,GK,1,0
124,UKR,69,Mariia Poliak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,GK,0,0
125,CRO,2,Nikolina Zadravec,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,132.0,0,RW,0,0
126,SRB,2,Sanja Radosavljevic,0,0,0,1,5,5,0,0,2,0,0,0,0,0,0,1,0,2,0,3,0,0,2,158.0,0,LW,0,0
127,NED,6,Laura Van der Heijden,0,0,4,3,0,0,3,0,1,1,0,0,4,2,0,2,0,5,0,1,1,0,2,126.0,0,RB,0,0
128,MKD,58,Simona Madjovska,0,0,0,1,0,0,3,1,0,0,0,0,2,0,0,1,0,2,0,0,3,0,12,78.0,0,LB,0,0
129,ROU,17,Ioana Rebeca Necula,0,0,2,3,0,0,0,1,1,0,0,0,4,6,0,0,0,2,0,0,0,0,8,98.0,0,CB,0,0
130,HUN,61,Kinga Janurik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,57.0,0,GK,0,0
131,DEN,34,Rikke Iversen,0,0,13,3,0,0,0,0,1,1,1,1,0,0,1,7,0,5,0,4,2,0,4,276.0,0,LP,0,0
132,DEN,1,Sandra Toft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,0,GK,0,0
133,POL,40,Daria Michalak,0,0,0,0,12,5,2,0,2,0,0,0,0,1,0,6,0,2,0,2,0,0,8,295.0,0,LW,0,0
134,CZE,67,Veronika Mala,0,0,1,0,3,4,0,0,4,0,1,2,0,0,0,1,0,1,0,1,0,0,0,163.0,0,LW,0,0
135,SLO,28,Maja Svetik,0,0,1,0,5,4,0,0,0,2,0,0,0,0,0,1,0,0,0,4,0,0,1,140.0,0,LW,0,0
136,NED,12,Bo van Wetering,0,0,5,1,7,3,2,1,3,2,1,2,0,0,0,1,0,1,0,2,0,0,4,235.0,0,LW,0,0
137,SUI,12,Manuela Brütsch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,GK,0,0
138,MNE,55,Andrijana Tatar,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,49.0,0,LP,0,0
139,FRA,86,Marine Dupuis,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.0,0,LW,0,0
140,DEN,25,Trine Jensen Østergaard,0,0,2,0,13,6,0,0,2,1,0,0,0,0,0,2,0,1,0,1,0,0,3,294.0,0,RW,1,0
141,POL,4,Aleksandra Olek,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,2,0,2,185.0,0,LP,0,0
142,SRB,44,Milica Ignjatovic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,RB,0,0
143,POL,96,Dagmara Nocun,0,0,2,0,8,2,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,112.0,0,LW,0,0
144,CRO,26,Mia Brkic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,51.0,0,LP,0,0
145,ISL,1,Elin Jona Thorsteinsdottir,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,111.0,0,GK,0,0
146,ROU,99,Sorina Maria Grozav,1,1,2,4,0,0,1,2,0,0,2,4,8,10,0,0,0,3,0,0,0,0,9,121.0,0,LB,0,0
